site_code,site_name,part_number,part_serial_number,part_domain_1,part_domain_2,part_domain_3
cw0944,dumiz2_cow,kdu137569/1,d163652172,telecom,bss,du
cw0944,dumiz2_cow,86010148v01,i0m1150604-b1,telecom,bss,ret
cw0944,dumiz2_cow,bmg980336/7,dx10261939,telecom,bss,pdu
cw0944,dumiz2_cow,bmg980336/4,x051832942,telecom,bss,pdu
cw0944,dumiz2_cow,bmg980336/4,x051835225,telecom,bss,pdu
cw0944,dumiz2_cow,kdu127174/3,tu8xk34038,telecom,bss,du
cw0944,dumiz2_cow,86010148v01,i0m1150575-r1,telecom,bss,ret
cw0944,dumiz2_cow,86010148v01,i0m1150574-b1,telecom,bss,ret
cw0944,dumiz2_cow,86010148v01,i0m1150560-r1,telecom,bss,ret
cw0944,dumiz2_cow,86010148v01,i0m1150554-b1,telecom,bss,ret
cw0944,dumiz2_cow,86010148v01,i0m1150496-r1,telecom,bss,ret
cw0944,dumiz2_cow,kdu137569/1,d163703247,telecom,bss,du
cw0944,dumiz2_cow,krc11865/2,d163752608,telecom,bss,ru
cw0944,dumiz2_cow,krc161297/2,cr9j239241,telecom,bss,ru
cw0944,dumiz2_cow,tta-glg120h,as192501509,telecom,bss,tma
cw0944,dumiz2_cow,tta-glg120h,as192501376,telecom,bss,tma
cw0944,dumiz2_cow,tta-glg120h,as192501279,telecom,bss,tma
cw0944,dumiz2_cow,krc161260/1,d16t461346,telecom,bss,ru
cw0944,dumiz2_cow,krc11865/2,d163752615,telecom,bss,ru
cw0944,dumiz2_cow,krc161297/2,cr9j174092,telecom,bss,ru
cw0944,dumiz2_cow,krc161297/2,cr9j172056,telecom,bss,ru
cw0944,dumiz2_cow,119/bfm901290,d163790417,telecom,bss,bts
cw0944,dumiz2_cow,bml161174/1,br88045594,telecom,bss,psu
cw0944,dumiz2_cow,bml161174/1,br88045581,telecom,bss,psu
cw0944,dumiz2_cow,bml161174/1,br88045579,telecom,bss,psu
cw0946,prison_camp,86010148v01,i0m0562950-r1,telecom,bss,ret
cw0946,prison_camp,bmg980336/4,x051844230,telecom,bss,pdu
cw0946,prison_camp,86010148v01,i0m0562891-r1,telecom,bss,ret
